,MSA,MSADSCR,NAICS3_x,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,ee_atp_cnt,MinWage_Cases,MinWage_ATPAmt,MinWage_EmpAff,ChildLabor_Cases,ChildLabor_ATPAmt,ChildLabor_EmpAff,BMW_Cases,BMW_ATPAmt,BMW_EmpAff,All_AtpAmt,Other_Cases,Other_ATPAmt,Other_EmpAff,ESTB,EMPL_N,PAYR_N,NAICS3,NAICS3Desc
387,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",332,7735,0.0,7225,6460,7735,4108204.7,6460,0,0.0,0,0,0.0,0,8688306.45,0,4580101.75,765,678.0,14413.0,705990.0,332,Fabricated Metal Product Manufacturing
388,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",333,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,246.0,5417.0,282753.0,333,Machinery Manufacturing
389,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",335,170,0.0,170,170,0,0.0,0,0,0.0,0,0,0.0,0,238000.0,170,238000.0,170,58.0,1847.0,76833.0,335,"Electrical Equipment, Appliance, and Component Manufacturing"
390,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",336,9180,235620.0,4930,4845,1020,1743838.75,765,0,0.0,0,0,0.0,0,22100267.75,8160,20356429.0,4165,195.0,6393.0,302555.0,336,Transportation Equipment Manufacturing
391,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",337,7225,977500.0,6205,2890,6800,4059867.75,2890,425,510000.0,85,0,0.0,0,7842206.25,0,4251538.5,3230,164.0,5572.0,215489.0,337,Furniture and Related Product Manufacturing
392,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",339,4080,0.0,2040,2040,4080,3426372.95,2040,0,0.0,0,0,0.0,0,7054830.0,0,3628457.05,0,317.0,7720.0,362015.0,339,Miscellaneous Manufacturing
393,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",423,10455,388960.0,8840,8840,10200,12821380.45,8840,255,205700.0,85,0,0.0,0,37803660.75,0,24776580.3,85,2875.0,37358.0,1897126.0,423,"Merchant Wholesalers, Durable Goods"
394,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",424,1105,12750.0,510,340,595,1261578.5,340,85,0.0,85,0,0.0,0,3784735.5,425,2523157.0,85,1344.0,25334.0,1279254.0,424,"Merchant Wholesalers, Nondurable Goods"
395,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",425,3825,0.0,3825,3570,3825,591529.45,3570,0,0.0,0,0,0.0,0,1774588.35,0,1183058.9,255,380.0,2012.0,104645.0,425,Wholesale Electronic Markets and Agents and Brokers
396,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",441,5100,0.0,3145,3060,4165,4762570.4,2975,0,0.0,0,0,0.0,0,11854156.95,935,7091586.55,170,1178.0,20751.0,922423.0,441,Motor Vehicle and Parts Dealers
397,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",442,6885,0.0,5695,5695,6885,12927417.1,5695,0,0.0,0,0,0.0,0,33971219.85,0,21043802.75,0,469.0,4272.0,114588.0,442,Furniture and Home Furnishings Stores
398,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",443,2890,0.0,2295,2295,2890,672304.95,2295,0,0.0,0,0,0.0,0,1957816.05,0,1285511.1,0,500.0,4360.0,104730.0,443,Electronics and Appliance Stores
399,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",444,8415,1351075.0,6205,3655,5695,9544880.35,2975,1190,1351075.0,340,0,0.0,0,28926390.8,1530,20732585.45,2890,577.0,12957.0,398572.0,444,Building Material and Garden Equipment and Supplies Dealers
400,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",445,364990,6534290.0,207485,203405,358615,84547620.65,203405,3655,6133175.0,2720,0,0.0,0,188704875.6,2720,100641229.95,1530,1426.0,31662.0,782247.0,445,Food and Beverage Stores
401,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",446,4165,263500.0,2380,2295,3995,2926518.55,2295,170,263500.0,85,0,0.0,0,6189342.15,0,3526323.6,0,937.0,9809.0,351797.0,446,Health and Personal Care Stores
402,40140.0,"Riverside-San Bernardino-Ontario, CA Metro Area",447,12325,0.0,10880,10540,12325,7255763.2,10540,0,0.0,0,0,0.0,0,21076239.6,0,13820476.4,340,832.0,7795.0,152561.0,447,Gasoline Stations
